Epoch,Train Loss,Validation Loss
1,2.3559699031439694,1.9215315947165856
2,1.7598815262317657,1.5494518463428204
3,1.4697312035343864,1.373896754704989
4,1.3144054385748776,1.229280554331266
5,1.2489320175214247,1.1922418429301336
6,1.1833125285126946,1.1534411861346319
7,1.1569745567711918,1.1243376319225018
8,1.116916218941862,1.0835640292901259
9,1.0830806588584727,1.1129663219818702
10,1.0530990971760317,1.0953959501706636
11,1.021161894906651,1.0392040656163142
12,1.048068257895383,1.0671910047531128
13,0.9914821508255872,1.015996740414546
14,0.9586234214630994,1.0561511195622957
15,0.9517923363230445,1.010922569494981
16,0.9421370462937788,0.9995888930100661
17,0.9322658397934653,1.03002641751216
18,0.9353477589108727,1.0309888903911297
19,0.9056219404393976,1.0218496093383203
20,0.8971145369789817,1.010787688768827
21,0.8994567692279816,1.0096976940448468
22,0.8792135918682272,0.9987325989283048
23,0.8809094564481215,0.990581778379587
24,0.8524149588563226,0.9864769073633047
25,0.8472302014177496,0.9992989072432885
26,0.8524624922058799,0.9993220613552973
27,0.8628737696192481,0.9770742471401508
28,0.832414910197258,0.9891022764719449
29,0.8219814883037047,0.9846645180995648
30,0.8316835720430721,0.9806634371097271
31,0.8277590897950259,0.9724271159905654
32,0.8348913097923453,0.9892131227713364
33,0.8311854045499455,0.9606443551870493
34,0.8242354975505308,0.9819245659388028
35,0.8130060231143778,0.9526759615311255
36,0.799905466762456,0.9524773542697613
37,0.7947976656935432,0.976767008121197
38,0.7859340567480434,0.9443738185442411
39,0.8023390973156149,0.9364278958393977
40,0.7829114469614896,0.9398828378090491
41,0.8138259798288345,0.9310256334451529
42,0.7775211808356371,0.9575554040762094
43,0.7979044616222382,0.9660549759864807
44,0.7654015841809186,0.9920598589456998
45,0.7604164399883964,0.9443550155713007
46,0.7967487031763251,0.9375817775726318
47,0.760795306075703,0.953964691895705
48,0.7936075113036416,0.9587380977777334
49,0.7658652012998407,0.9434970617294312
50,0.7729567031968724,0.9490658411612878
51,0.7484905150803652,0.9424905685278085
