Epoch,Train Loss,Validation Loss
1,11.84397186835607,11.390066691807338
2,11.275383055210114,11.237124034336635
3,11.203528265158335,11.14970602308001
4,11.113630692164103,11.103232111249651
5,11.105963826179504,11.052575179508754
6,11.070637126763662,11.095303331102643
7,10.990360339482626,10.928577286856514
8,10.939557135105133,10.960784639631
9,10.95276935895284,11.061845711299352
10,10.904034932454428,10.990224838256836
11,10.84711080789566,10.920419897351946
12,10.809800604979197,11.032464640481132
13,10.80735985438029,10.91490820475987
14,10.796311656634012,10.98273617880685
15,10.735548476378122,11.099085875919886
16,10.730758984883627,11.003093310764857
17,10.709578931331635,11.088293143681117
18,10.688645084698996,11.054365703037806
19,10.613590578238169,11.097531591142927
20,10.61528213818868,11.034065519060407
21,10.583534101645151,11.034130368913923
22,10.576193769772848,11.14311592919486
23,10.599684119224548,11.194842679159981
24,10.586052179336548,11.071152687072754
25,10.557697097460428,11.208456448146276
26,10.51779693365097,11.043617384774345
27,10.486408511797586,11.18364885875157
28,10.499873320261637,11.110447134290423
29,10.498078147570292,11.033386775425502
30,10.500274499257406,11.156807218279157
31,10.457554499308268,11.253497055598668
32,10.429569045702616,11.233392987932477
33,10.430058221022287,11.230337483542305
34,10.416603167851767,11.328668253762382
35,10.500949323177338,11.111251149858747
36,10.459697425365448,11.280468736376081
37,10.399936219056448,11.01726061957223
38,10.389305651187897,11.057041781289238
39,10.378962417443594,11.175365039280482
40,10.383593122164408,11.121319157736641
41,10.392999211947123,11.102712971823555
42,10.383005519707998,11.062670980181013
43,10.353747685750326,11.10714932850429
44,10.367270708084106,11.28133133479527
45,10.385680655638376,11.201237201690674
46,10.379453440507254,11.168744495936803
47,10.365443487962088,11.227186679840088
48,10.404444913069407,11.212651184626989
49,10.38381298383077,11.232504504067558
50,10.413100560506185,11.216548238481794
51,10.375440577665964,11.191816874912806
52,10.390067636966705,11.224748883928571
53,10.355608761310577,11.185329914093018
54,10.370115538438162,11.165026256016322
55,10.383742690086365,11.231103352137975
56,10.35481427113215,11.234826701028007
57,10.357673585414886,11.138456548963275
58,10.344269076983133,11.168535505022321
59,10.34439069032669,11.221854959215436
60,10.34289918343226,11.330119269234794
61,10.358597060044607,11.344128063746862
62,10.37029093503952,11.129292556217738
63,10.350473443667093,11.058217389242989
64,10.282269875208536,11.234858444758824
65,10.355500042438507,11.145898137773786
66,10.327727536360422,11.240045547485352
67,10.353870073954264,11.302544730050224
68,10.315785527229309,11.195876938956124
69,10.326714416344961,11.260692051478795
70,10.317473451296488,11.182959011622838
71,10.306792457898458,11.243915149143763
72,10.32711935043335,11.265593256269183
73,10.348691880702972,11.446717057909284
74,10.42462690671285,11.308598382132393
75,10.409487644831339,11.233556134360176
76,10.343183040618896,11.206330299377441
77,10.343759099642435,11.250355175563268
78,10.326405803362528,11.511145387377058
79,10.297340015570322,11.287139347621373
80,10.292399843533834,11.231386729649135
81,10.293168564637503,11.224375656672887
82,10.296534717082977,11.225498403821673
83,10.34696888923645,11.297214576176234
84,10.36466097831726,11.309786455971855
85,10.385078251361847,11.37031534739903
86,10.40083638827006,11.127276079995292
87,10.358255128065744,11.197541100638253
88,10.351453324158987,11.160101005009242
89,10.315481921037039,11.230228764670235
90,10.300285140673319,11.172249589647565
91,10.312670429547628,11.079276493617467
92,10.297766466935476,11.204812799181257
93,10.299815436204275,11.153681141989571
94,10.305228491624197,11.110318865094866
95,10.299573481082916,11.194607870919365
96,10.25853012005488,11.168733596801758
97,10.3010972738266,11.201130730765206
98,10.297205785910288,11.201806000300817
99,10.311423520247141,11.215721675327845
100,10.289363662401835,11.18195881162371
